Stop #,Stop Name,On Board Announcement
1341,Oxford & Sanatorium Rd EB,Oxford at Sanatorium  
1342,Oxford & Sanatorium Rd WB,Oxford at Sanatorium  
1343,Oxford & Second St EB,Oxford at Second  
1345,Oxford & Spittal St EB,Oxford at Spittal  
1262,Oxford & St. Andrews St EB,Oxford at St Andrews 
1298,Oxford & St. George St EB,Oxford at St George 
1299,Oxford & St. George St WB,Oxford at St. George 
1346,Oxford & Sterling St EB,Oxford at Sterling  
1347,Oxford & Sterling St WB,Oxford at Sterling  
1348,Oxford & Strand St EB,Oxford at Strand  
1349,Oxford & Stuart St WB,Oxford at Stuart  
1350,Oxford & Talbot St EB,Oxford at Talbot  
1351,Oxford & Talbot St WB,Oxford at Talbot  
1352,Oxford & Third St EB,Oxford at Third  
1353,Oxford & Third St WB,Oxford at Third  
1354,Oxford & Waterloo St EB,Oxford at Waterloo  
1355,Oxford & Waterloo St WB,Oxford at Waterloo  
1356,Oxford & Wellington St EB,Oxford at Wellington  
1357,Oxford & Wellington St WB,Oxford at Wellington  
1358,Oxford & Wharncliffe Rd EB,Oxford at Wharncliffe  
1359,Oxford & Wharncliffe Rd WB,Oxford at Wharncliffe  
1360,Oxford & William St EB,Oxford at William  
1361,Oxford & William St WB,Oxford at William  
1362,Oxford & Wistow St WB,Oxford at Wistow  
1363,Oxford & Wonderland Rd EB,Oxford at Wonderland  
1364,Oxford & Wonderland Rd WB,Oxford at Wonderland  
1581,Riverside & Hartson Rd E Leg EB,Riverside at Hartson East 
1583,Riverside & Hartson Rd W Leg EB,Riverside at Hartson West 
1592,Riverside & Sanatorium Rd EB,Riverside at Sanatorium  
1562,Riverside & St. Anthony Rd EB,Riverside at St Anthony 
1629,Sanatorium & Plymouth Ave NB,Sanitorium at Plymouth  
1630,Sanatorium & Plymouth Ave SB,Sanitorium at Plymouth  
1631,Sanatorium & Riverside Dr. NB,Sanitorium at Riverside  
1632,Sanatorium & Riverside Dr. SB,Sanitorium at Riverside  
1633,Sanatorium & Sutton Place NB,Sanitorium at Sutton Place 
1634,Sanatorium & Sutton Place SB,St Thomas Aquanis Secondary School
1770,Third & Culver? SB,Third at Culver  
1769,Third & Culver Dr NB,Third at Culver  
1771,Third & Oxford NB,Third at Oxford  
1772,Third & Oxford SB,Third at Oxford  
